"date","geography","geography code","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"2011","Darlington","E06000005","Total",46670,15682,18270,11450,1149,119
"2011","County Durham","E06000047","Total",223803,77389,92840,48450,4599,525
"2011","Hartlepool","E06000001","Total",40434,14261,15525,9576,947,125
"2011","Middlesbrough","E06000002","Total",57203,18686,20890,15031,2246,350
"2011","Northumberland","E06000057","Total",138534,54773,52023,28925,2555,258
"2011","Redcar and Cleveland","E06000003","Total",59605,22262,22543,13404,1280,116
"2011","Stockton-on-Tees","E06000004","Total",79159,31297,28543,16962,2118,239
"2011","Gateshead","E08000037","Total",89154,25218,37148,23685,2832,271
"2011","Newcastle upon Tyne","E08000021","Total",117153,33721,44512,33757,4495,668
"2011","North Tyneside","E08000022","Total",91295,30014,37089,22177,1832,183
"2011","South Tyneside","E08000023","Total",67167,19679,27034,18195,2045,214
"2011","Sunderland","E08000024","Total",119758,35052,47965,32638,3657,446
"2011","Blackburn with Darwen","E06000008","Total",57353,15243,22427,16138,2914,631
"2011","Blackpool","E06000009","Total",64367,19889,23113,19474,1712,179
"2011","Cheshire East","E06000049","Total",159441,69362,56720,30116,2897,346
"2011","Cheshire West and Chester","E06000050","Total",141442,60781,49773,27662,2893,333
"2011","Halton","E06000006","Total",53312,19128,19560,13103,1379,142
"2011","Warrington","E06000007","Total",85140,33989,29986,19115,1825,225
"2011","Cumbria","E10000006","Total",222042,90123,85859,42007,3676,377
"2011","Bolton","E08000001","Total",116371,34061,44327,32614,4597,772
"2011","Bury","E08000002","Total",78113,26474,29380,19533,2392,334
"2011","Manchester","E08000003","Total",204969,45509,70320,73241,13471,2428
"2011","Oldham","E08000004","Total",89703,23051,34588,26110,4843,1111
"2011","Rochdale","E08000005","Total",87552,24996,32074,25789,3963,730
"2011","Salford","E08000006","Total",103556,27942,39231,32075,3829,479
"2011","Stockport","E08000007","Total",121979,45609,44149,28651,3200,370
"2011","Tameside","E08000008","Total",94953,26387,37604,27225,3286,451
"2011","Trafford","E08000009","Total",94484,36928,32905,21589,2667,395
"2011","Wigan","E08000010","Total",136386,46583,53937,32205,3331,330
"2011","Lancashire","E10000017","Total",496299,175206,192692,113738,12712,1951
"2011","Knowsley","E08000011","Total",61323,22071,21944,14780,2241,287
"2011","Liverpool","E08000012","Total",206515,63556,74964,59105,7726,1164
"2011","Sefton","E08000014","Total",117930,46973,40827,26760,2997,373
"2011","St. Helens","E08000013","Total",75736,27539,29101,16952,1941,203
"2011","Wirral","E08000015","Total",140583,57252,50517,29661,2804,349
"2011","East Riding of Yorkshire","E06000011","Total",143032,61378,53874,25055,2484,241
"2011","Kingston upon Hull, City of","E06000010","Total",112596,29218,44393,34194,4298,493
"2011","North East Lincolnshire","E06000012","Total",69707,27152,25188,15627,1575,165
"2011","North Lincolnshire","E06000013","Total",70684,29587,25328,13814,1715,240
"2011","York","E06000014","Total",83552,29882,30944,19792,2668,266
"2011","North Yorkshire","E10000023","Total",256594,109645,92103,49631,4673,542
"2011","Barnsley","E08000016","Total",100734,35458,40924,21972,2171,209
"2011","Doncaster","E08000017","Total",126487,47959,47127,27337,3520,544
"2011","Rotherham","E08000018","Total",108293,39889,41052,24040,2801,511
"2011","Sheffield","E08000019","Total",229928,78341,78912,61797,9209,1669
"2011","Bradford","E08000032","Total",199296,60547,70947,55430,9930,2442
"2011","Calderdale","E08000033","Total",88621,27273,34244,24194,2510,400
"2011","Kirklees","E08000034","Total",173525,55072,61907,48249,6941,1356
"2011","Leeds","E08000035","Total",320596,104816,116044,87902,10449,1385
"2011","Wakefield","E08000036","Total",140414,48155,56580,31902,3320,457
"2011","Derby","E06000015","Total",102271,33257,36315,27581,4280,838
"2011","Leicester","E06000016","Total",123125,30396,37782,42895,9758,2294
"2011","Nottingham","E06000018","Total",126131,34176,43792,40587,6525,1051
"2011","Rutland","E06000017","Total",15002,7964,4644,2209,164,21
"2011","Derbyshire","E10000007","Total",332637,128015,128090,69391,6486,655
"2011","Leicestershire","E10000018","Total",267434,116684,95263,50070,4754,663
"2011","Lincolnshire","E10000019","Total",306971,128225,114620,57442,5862,822
"2011","Northamptonshire","E10000021","Total",287730,117135,100783,62051,6834,927
"2011","Nottinghamshire","E10000024","Total",334303,139969,122361,64609,6546,818
"2011","Herefordshire, County of","E06000019","Total",78319,34194,24992,16836,2027,270
"2011","Shropshire","E06000051","Total",129674,56076,45461,25205,2592,340
"2011","Stoke-on-Trent","E06000021","Total",107575,27436,44489,30921,4119,610
"2011","Telford and Wrekin","E06000020","Total",66608,25368,24158,14801,1969,312
"2011","Staffordshire","E10000028","Total",355263,144504,126205,75800,7860,894
"2011","Warwickshire","E10000031","Total",231005,94584,81685,49146,5005,585
"2011","Birmingham","E08000025","Total",410736,114917,129362,130011,29252,7194
"2011","Coventry","E08000026","Total",128592,40626,45231,35848,5779,1108
"2011","Dudley","E08000027","Total",129867,46208,46714,32258,4110,577
"2011","Sandwell","E08000028","Total",121498,34389,42517,36436,6789,1367
"2011","Solihull","E08000029","Total",86056,38506,27259,18030,2024,237
"2011","Walsall","E08000030","Total",107822,36375,38324,27640,4570,913
"2011","Wolverhampton","E08000031","Total",102177,30849,35032,30301,5082,913
"2011","Worcestershire","E10000034","Total",239717,101484,79866,52317,5438,612
"2011","Bedford","E06000055","Total",63812,25013,19788,16381,2200,430
"2011","Central Bedfordshire","E06000056","Total",104399,42282,36477,22972,2389,279
"2011","Luton","E06000032","Total",74293,19282,22550,24358,6242,1861
"2011","Peterborough","E06000031","Total",74023,25725,24420,20071,3135,672
"2011","Southend-on-Sea","E06000033","Total",74678,21418,25701,24014,3156,389
"2011","Thurrock","E06000034","Total",62353,18367,21690,18918,2954,424
"2011","Cambridgeshire","E10000003","Total",251241,103641,84530,55539,6531,1000
"2011","Essex","E10000012","Total",581589,218364,204302,141580,15570,1773
"2011","Hertfordshire","E10000015","Total",453817,163987,149524,122680,15631,1995
"2011","Norfolk","E10000020","Total",372085,148005,136219,79341,7524,996
"2011","Suffolk","E10000029","Total",310745,126569,110371,66374,6665,766
"2011","Camden","E09000007","Total",97534,12965,24078,49096,9474,1921
"2011","City of London","E09000001","Total",4385,359,1042,2726,221,37
"2011","Hackney","E09000012","Total",101690,11344,23270,51569,12882,2625
"2011","Hammersmith and Fulham","E09000013","Total",80590,12893,19862,37971,8271,1593
"2011","Haringey","E09000014","Total",101955,17717,24122,43882,13169,3065
"2011","Islington","E09000019","Total",93556,11002,23138,49439,8584,1393
"2011","Kensington and Chelsea","E09000020","Total",78536,11825,22555,37612,5649,895
"2011","Lambeth","E09000022","Total",130017,20050,33355,59405,14446,2761
"2011","Lewisham","E09000023","Total",116091,20981,32468,48624,11704,2314
"2011","Newham","E09000025","Total",101519,12165,22258,41515,17882,7699
"2011","Southwark","E09000028","Total",120422,16077,31119,54751,14949,3526
"2011","Tower Hamlets","E09000030","Total",101257,8094,25500,51058,12875,3730
"2011","Wandsworth","E09000032","Total",130493,27006,37131,54916,9762,1678
"2011","Westminster","E09000033","Total",105772,12052,27806,54401,9709,1804
"2011","Barking and Dagenham","E09000002","Total",69681,11661,20601,28024,7794,1601
"2011","Barnet","E09000003","Total",135916,37823,39766,44691,11291,2345
"2011","Bexley","E09000004","Total",92604,28928,33027,26282,3763,604
"2011","Brent","E09000005","Total",110286,19245,26061,45462,14867,4651
"2011","Bromley","E09000006","Total",130862,46728,43322,35591,4646,575
"2011","Croydon","E09000008","Total",145010,38082,42195,50758,11962,2013
"2011","Ealing","E09000009","Total",124082,26910,32978,46889,13470,3835
"2011","Enfield","E09000010","Total",119916,28994,34588,42875,11327,2132
"2011","Greenwich","E09000011","Total",101045,20799,30542,38693,8892,2119
"2011","Harrow","E09000015","Total",84268,24266,25470,25800,6927,1805
"2011","Havering","E09000016","Total",97199,33455,33805,26038,3431,470
"2011","Hillingdon","E09000017","Total",100214,25044,31461,33958,7972,1779
"2011","Hounslow","E09000018","Total",94902,19236,27077,36616,9626,2347
"2011","Kingston upon Thames","E09000021","Total",63639,18805,20981,20172,3216,465
"2011","Merton","E09000024","Total",78757,21531,24276,25735,6036,1179
