geography,geography code,date,tSNE1,tSNE2,Cluster
Barking and Dagenham,E09000002,2011,13.0468235,8.674391,2
Barnet,E09000003,2011,10.736139,1.0592251,2
Barnsley,E08000016,2011,-2.0923476,-11.348139,1
Bath and North East Somerset,E06000022,2011,-5.782962,5.9654403,0
Bedford,E06000055,2011,-5.4738965,7.6595893,0
Bexley,E09000004,2011,-3.1462426,-0.5306607,0
Birmingham,E08000025,2011,10.497539,-19.456846,1
Blackburn with Darwen,E06000008,2011,-6.696183,9.130211,0
Blackpool,E06000009,2011,-2.388898,5.4765954,0
Blaenau Gwent,W06000019,2011,-14.902114,6.9541917,0
Bolton,E08000001,2011,-2.176887,-10.081487,1
Bracknell Forest,E06000036,2011,-11.854867,7.1518974,0
Bradford,E08000032,2011,6.644438,-17.15907,1
Brent,E09000005,2011,17.422514,5.9561596,2
Bridgend,W06000013,2011,-9.922412,6.945272,0
Brighton and Hove,E06000043,2011,9.557632,1.4465332,2
Bromley,E09000006,2011,2.7681284,-9.465372,1
Buckinghamshire,E10000002,2011,6.1298203,-15.526519,1
Bury,E08000002,2011,-6.120346,3.9081445,0
Caerphilly,W06000018,2011,-7.6965556,3.7807095,0
Calderdale,E08000033,2011,-4.075719,1.8206929,0
Camden,E09000007,2011,17.115498,8.176107,2
Cardiff,W06000015,2011,2.5748274,-15.916369,1
Carmarthenshire,W06000010,2011,-8.5403385,4.7840962,0
Central Bedfordshire,E06000056,2011,1.0546378,-9.755108,1
Ceredigion,W06000008,2011,-12.300933,10.298907,0
Cheshire East,E06000049,2011,3.7025335,-13.331195,1
Cheshire West and Chester,E06000050,2011,2.7025526,-12.523215,1
City of London,E09000001,2011,-5.8033543,13.185033,0
Conwy,W06000003,2011,-11.0767765,8.650275,0
Cornwall,E06000052,2011,6.950889,-15.731394,1
County Durham,E06000047,2011,7.6441836,-16.330435,1
Coventry,E08000026,2011,2.347606,-15.684009,1
Croydon,E09000008,2011,11.297089,1.0905981,2
Darlington,E06000005,2011,-12.197167,7.8852487,0
Denbighshire,W06000004,2011,-11.834821,9.191645,0
Derby,E06000015,2011,-1.2065902,-8.422283,1
Doncaster,E08000017,2011,-0.15834984,-12.312574,1
Dorset,E10000009,2011,5.5241475,-14.8455305,1
Dudley,E08000027,2011,-0.805124,-12.712609,1
Ealing,E09000009,2011,16.272436,5.721545,2
East Riding of Yorkshire,E06000011,2011,2.5158048,-13.473605,1
Enfield,E09000010,2011,10.412925,1.5993433,2
Flintshire,W06000005,2011,-9.566943,5.812139,0
Gateshead,E08000037,2011,-5.451442,-7.3792877,1
Greenwich,E09000011,2011,14.276742,7.1933727,2
