"date","geography","geography code","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"2011","Darlington","E06000005","Total",46670,25099,11849,7598,1719,405
"2011","County Durham","E06000047","Total",223803,115670,64427,35589,6768,1349
"2011","Hartlepool","E06000001","Total",40434,20853,10637,7200,1411,333
"2011","Middlesbrough","E06000002","Total",57203,27223,14938,11043,3061,938
"2011","Northumberland","E06000057","Total",138534,78059,34151,21320,4201,803
"2011","Redcar and Cleveland","E06000003","Total",59605,32380,15079,9853,1899,394
"2011","Stockton-on-Tees","E06000004","Total",79159,44245,19007,12327,2854,726
"2011","Gateshead","E08000037","Total",89154,37762,27127,18777,4461,1027
"2011","Newcastle upon Tyne","E08000021","Total",117153,47021,33133,26357,8259,2383
"2011","North Tyneside","E08000022","Total",91295,44575,25663,17130,3305,622
"2011","South Tyneside","E08000023","Total",67167,30528,19312,13778,2955,594
"2011","Sunderland","E08000024","Total",119758,54415,34241,24296,5368,1438
"2011","Blackburn with Darwen","E06000008","Total",57353,27792,15395,10222,2966,978
"2011","Blackpool","E06000009","Total",64367,31247,15908,12622,3597,993
"2011","Cheshire East","E06000049","Total",159441,100148,33030,20582,4607,1074
"2011","Cheshire West and Chester","E06000050","Total",141442,86280,30418,18862,4670,1212
"2011","Halton","E06000006","Total",53312,27849,13199,9626,2199,439
"2011","Warrington","E06000007","Total",85140,49766,18224,13329,3112,709
"2011","Cumbria","E10000006","Total",222042,130821,54294,28685,6788,1454
"2011","Bolton","E08000001","Total",116371,53760,31112,23457,6268,1774
"2011","Bury","E08000002","Total",78113,40576,19413,13964,3360,800
"2011","Manchester","E08000003","Total",204969,67111,51228,52957,25041,8632
"2011","Oldham","E08000004","Total",89703,37674,26321,18936,5066,1706
"2011","Rochdale","E08000005","Total",87552,37603,23814,19318,5281,1536
"2011","Salford","E08000006","Total",103556,43350,27494,22862,7403,2447
"2011","Stockport","E08000007","Total",121979,69260,28060,18789,4726,1144
"2011","Tameside","E08000008","Total",94953,41720,27719,19699,4680,1135
"2011","Trafford","E08000009","Total",94484,54517,19962,14720,4113,1172
"2011","Wigan","E08000010","Total",136386,72093,35448,22797,4895,1153
"2011","Lancashire","E10000017","Total",496299,278313,119805,75475,18101,4605
"2011","Knowsley","E08000011","Total",61323,30515,15878,11288,2936,706
"2011","Liverpool","E08000012","Total",206515,90381,53298,42804,15130,4902
"2011","Sefton","E08000014","Total",117930,69489,25633,17107,4473,1228
"2011","St. Helens","E08000013","Total",75736,42143,18801,11690,2490,612
"2011","Wirral","E08000015","Total",140583,83342,32052,19686,4438,1065
"2011","East Riding of Yorkshire","E06000011","Total",143032,89530,32374,16661,3701,766
"2011","Kingston upon Hull, City of","E06000010","Total",112596,42822,34586,26161,7077,1950
"2011","North East Lincolnshire","E06000012","Total",69707,40524,16179,10180,2235,589
"2011","North Lincolnshire","E06000013","Total",70684,43208,15793,9156,1972,555
"2011","York","E06000014","Total",83552,42862,20065,14695,4661,1269
"2011","North Yorkshire","E10000023","Total",256594,155377,56824,33827,8454,2112
"2011","Barnsley","E08000016","Total",100734,50710,29165,16539,3505,815
"2011","Doncaster","E08000017","Total",126487,70344,31647,18758,4404,1334
"2011","Rotherham","E08000018","Total",108293,57531,28439,17500,3762,1061
"2011","Sheffield","E08000019","Total",229928,105300,57008,45788,15828,6004
"2011","Bradford","E08000032","Total",199296,88103,51400,40364,14073,5356
"2011","Calderdale","E08000033","Total",88621,40589,23988,18246,4737,1061
"2011","Kirklees","E08000034","Total",173525,80193,43384,35250,11283,3415
"2011","Leeds","E08000035","Total",320596,143241,82124,66032,22376,6823
"2011","Wakefield","E08000036","Total",140414,69136,40626,23936,5281,1435
"2011","Derby","E06000015","Total",102271,51871,24109,18838,5545,1908
"2011","Leicester","E06000016","Total",123125,47214,28404,28751,12850,5906
"2011","Nottingham","E06000018","Total",126131,47877,32671,29666,11720,4197
"2011","Rutland","E06000017","Total",15002,10560,2544,1527,313,58
"2011","Derbyshire","E10000007","Total",332637,191977,81700,46736,10158,2066
"2011","Leicestershire","E10000018","Total",267434,168244,56513,32886,7951,1840
"2011","Lincolnshire","E10000019","Total",306971,190054,66484,38430,9516,2487
"2011","Northamptonshire","E10000021","Total",287730,164687,63729,43623,12274,3417
"2011","Nottinghamshire","E10000024","Total",334303,202086,76304,43355,10113,2445
"2011","Herefordshire, County of","E06000019","Total",78319,48277,14863,11060,3249,870
"2011","Shropshire","E06000051","Total",129674,82123,26320,16009,4235,987
"2011","Stoke-on-Trent","E06000021","Total",107575,48710,31305,20979,5099,1482
"2011","Telford and Wrekin","E06000020","Total",66608,36696,15877,10579,2744,712
"2011","Staffordshire","E10000028","Total",355263,214092,76367,50432,11722,2650
"2011","Warwickshire","E10000031","Total",231005,134443,51628,33827,8894,2213
"2011","Birmingham","E08000025","Total",410736,172148,96442,91216,35670,15260
"2011","Coventry","E08000026","Total",128592,57945,33465,24994,8648,3540
"2011","Dudley","E08000027","Total",129867,69481,30824,22548,5659,1355
"2011","Sandwell","E08000028","Total",121498,52796,31801,26377,7852,2672
"2011","Solihull","E08000029","Total",86056,52019,17141,13015,3249,632
"2011","Walsall","E08000030","Total",107822,54386,26696,19679,5370,1691
"2011","Wolverhampton","E08000031","Total",102177,47912,24787,21200,6107,2171
"2011","Worcestershire","E10000034","Total",239717,144573,47837,35696,9382,2229
"2011","Bedford","E06000055","Total",63812,34918,12515,11494,3561,1324
"2011","Central Bedfordshire","E06000056","Total",104399,60100,23147,16362,3952,838
"2011","Luton","E06000032","Total",74293,28774,17623,16486,7264,4146
"2011","Peterborough","E06000031","Total",74023,36739,16692,14412,4481,1699
"2011","Southend-on-Sea","E06000033","Total",74678,33711,17535,16277,5361,1794
"2011","Thurrock","E06000034","Total",62353,26534,15773,14452,4299,1295
"2011","Cambridgeshire","E10000003","Total",251241,146087,51929,37795,11726,3704
"2011","Essex","E10000012","Total",581589,317238,130402,99349,27999,6601
"2011","Hertfordshire","E10000015","Total",453817,232135,98567,88071,27866,7178
"2011","Norfolk","E10000020","Total",372085,219478,82377,53814,13154,3262
"2011","Suffolk","E10000029","Total",310745,183170,67557,45085,12061,2872
"2011","Camden","E09000007","Total",97534,17914,17669,30258,20452,11241
"2011","City of London","E09000001","Total",4385,512,832,1524,1023,494
"2011","Hackney","E09000012","Total",101690,15452,18326,35205,21408,11299
"2011","Hammersmith and Fulham","E09000013","Total",80590,17086,15152,26113,14368,7871
"2011","Haringey","E09000014","Total",101955,24480,19201,29216,17631,11427
"2011","Islington","E09000019","Total",93556,14890,17710,33765,19590,7601
"2011","Kensington and Chelsea","E09000020","Total",78536,17945,16158,23121,13576,7736
"2011","Lambeth","E09000022","Total",130017,26858,26850,41966,23130,11213
"2011","Lewisham","E09000023","Total",116091,30117,25610,34642,17394,8328
