date,geography,geography code,Rural Urban,Tenure: All households; measures: Value,Tenure: Owned; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,Tenure: Social rented; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other; measures: Value,Tenure: Private rented; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Other; measures: Value,Tenure: Living rent free; measures: Value
2011,Darlington,E06000005,Total,46670,30289,13810,16479,178,7228,5238,1990,8513,7758,755,462
2011,County Durham,E06000047,Total,223803,147347,69435,77912,488,45004,28559,16445,28142,25498,2644,2822
2011,Hartlepool,E06000001,Total,40434,24194,11090,13104,200,9515,4016,5499,5971,5525,446,554
2011,Middlesbrough,E06000002,Total,57203,32723,15200,17523,336,13654,6049,7605,9509,8648,861,981
2011,Northumberland,E06000057,Total,138534,91207,46086,45121,510,25841,14820,11021,18417,16225,2192,2559
2011,Redcar and Cleveland,E06000003,Total,59605,39705,19806,19899,256,11568,5999,5569,7434,6698,736,642
2011,Stockton-on-Tees,E06000004,Total,79159,54225,23285,30940,255,13625,7285,6340,10387,9417,970,667
2011,Gateshead,E08000037,Total,89154,51915,23081,28834,363,24941,19985,4956,11125,10130,995,810
2011,Newcastle upon Tyne,E08000021,Total,117153,57955,26258,31697,489,34850,27340,7510,22318,20462,1856,1541
2011,North Tyneside,E08000022,Total,91295,59136,25611,33525,374,19677,14610,5067,11300,10146,1154,808
2011,South Tyneside,E08000023,Total,67167,38333,17003,21330,297,21204,16967,4237,6758,6040,718,575
2011,Sunderland,E08000024,Total,119758,71566,32419,39147,352,32399,16725,15674,14552,13077,1475,889
2011,Blackburn with Darwen,E06000008,Total,57353,36793,18039,18754,290,10391,3228,7163,8993,8113,880,886
2011,Blackpool,E06000009,Total,64367,39650,19318,20332,239,6999,4823,2176,16770,15549,1221,709
2011,Cheshire East,E06000049,Total,159441,118766,59846,58920,779,18141,4285,13856,19938,18244,1694,1817
2011,Cheshire West and Chester,E06000050,Total,141442,100105,49129,50976,1088,20808,10482,10326,17734,16021,1713,1707
2011,Halton,E06000006,Total,53312,33796,14436,19360,322,13441,2502,10939,5212,4752,460,541
2011,Warrington,E06000007,Total,85140,60915,27206,33709,637,13318,6147,7171,9549,8683,866,721
2011,Cumbria,E10000006,Total,222042,157050,87019,70031,1106,31778,10761,21017,28481,25183,3298,3627
2011,Bolton,E08000001,Total,116371,74170,35378,38792,605,23825,16575,7250,15930,14555,1375,1841
2011,Bury,E08000002,Total,78113,54395,24839,29556,247,11703,7314,4389,10774,9859,915,994
2011,Manchester,E08000003,Total,204969,77395,31145,46250,1481,64682,27585,37097,58170,55043,3127,3241
2011,Oldham,E08000004,Total,89703,58259,27193,31066,352,18918,8708,10210,10944,9676,1268,1230
2011,Rochdale,E08000005,Total,87552,54149,24334,29815,340,20247,13671,6576,11556,10511,1045,1260
2011,Salford,E08000006,Total,103556,52126,22603,29523,508,29819,18461,11358,19420,18224,1196,1683
2011,Stockport,E08000007,Total,121979,89316,42761,46555,987,16620,10577,6043,13852,12631,1221,1204
2011,Tameside,E08000008,Total,94953,60558,26688,33870,309,20438,4953,15485,12573,11345,1228,1075
