date,geography,geography code,Owned: Owns outright,Owned: Owns with a mortgage or loan,Shared ownership: Shared ownership,Social rented: Rents from council or Local Authority,Social rented: Other social rented,Private rented: Private landlord or letting agency,Private rented: Other private rented,Lives rent free,Occupancy rating of rooms: +2 or more,Occupancy rating of rooms: +1,Occupancy rating of rooms: 0,Occupancy rating of rooms: -1,Occupancy rating of rooms: -2 or less,Occupancy rating of rooms: +2 or more_bedrooms,Occupancy rating of rooms: +1_bedrooms,Occupancy rating of rooms: 0_bedrooms,Occupancy rating of rooms: -1_bedrooms,Occupancy rating of rooms: -2 or less_bedrooms,Occupancy rating of bedrooms: +2 or more,Occupancy rating of bedrooms: +1,Occupancy rating of bedrooms: 0,Occupancy rating of bedrooms: -1,Occupancy rating of bedrooms: -2 or less,Total (Rooms),Total (Bedrooms),% Overcrowded (Rooms),% Overcrowded (Bedrooms),% Under-occupied (Rooms),% Under-occupied (Bedrooms),Total Households,Owned,Shared Ownership,Social Rent,Private Rent,Other
2011,Barking and Dagenham,E09000002,11908,20416,906,19782,3677,11559,769,664,17238,17278,21130,9593,4442,17238,17278,21130,9593,4442,11661,20601,28024,7794,1601,69681,69681,20.141789009916614,13.482871945006533,49.53430633888721,46.29956516123477,69681,46.39,1.3,33.67,17.69,0.95
2011,Barnet,E09000003,38105,40245,1191,11664,7670,33175,1679,2187,52218,28485,30724,15761,8728,52218,28485,30724,15761,8728,37823,39766,44691,11291,2345,135916,135916,18.01774625503988,10.032667235645546,59.3771152770829,57.085994290591245,135916,57.65,0.88,14.22,25.64,1.61
2011,Barnsley,E08000016,30778,34029,445,17831,3201,11812,1044,1594,50710,29165,16539,3505,815,50710,29165,16539,3505,815,35458,40924,21972,2171,209,100734,100734,4.288522246709155,2.3626580896221734,79.29298945738282,75.82544126114321,100734,64.33,0.44,20.88,12.76,1.58
2011,Bath and North East Somerset,E06000022,25827,23241,368,2528,8086,11408,1039,1018,40661,14810,12972,4048,1024,40661,14810,12972,4048,1024,28856,23735,18809,1938,177,73515,73515,6.899272257362443,2.8769638849214445,75.45534924845269,71.53778140515541,73515,66.75,0.5,14.44,16.93,1.38
2011,Bedford,E06000055,20018,21919,665,1155,9097,9310,800,848,34918,12515,11494,3561,1324,34918,12515,11494,3561,1324,25013,19788,16381,2200,430,63812,63812,7.655299943584279,4.12148185294302,74.3324139660252,70.2077979063499,63812,65.72,1.04,16.07,15.84,1.33
2011,Bexley,E09000004,30127,37027,754,1693,11684,9721,835,763,43294,23096,18726,5681,1807,43294,23096,18726,5681,1807,28928,33027,26282,3763,604,92604,92604,8.086043799403914,4.715779016025225,71.69236750032397,66.90315753099219,92604,72.52,0.81,14.45,11.4,0.82
2011,Birmingham,E08000025,106416,120200,3940,63458,36134,68647,4758,7183,172148,96442,91216,35670,15260,172148,96442,91216,35670,15260,114917,129362,130011,29252,7194,410736,410736,12.399692259748354,8.87333956604729,65.39236882084842,59.47348174983445,410736,55.17,0.96,24.25,17.87,1.75
2011,Blackburn with Darwen,E06000008,18039,18754,290,3228,7163,8113,880,886,27792,15395,10222,2966,978,27792,15395,10222,2966,978,15243,22427,16138,2914,631,57353,57353,6.876710895681133,6.181019301518665,75.30033302529947,65.68095827594023,57353,64.15,0.51,18.12,15.68,1.54
2011,Blackpool,E06000009,19318,20332,239,4823,2176,15549,1221,709,31247,15908,12622,3597,993,31247,15908,12622,3597,993,19889,23113,19474,1712,179,64367,64367,7.130983267823574,2.937840819053241,73.25958954122454,66.8075255954138,64367,61.6,0.37,10.87,26.05,1.1
2011,Blaenau Gwent,W06000019,10019,8865,40,3364,3920,3480,412,316,14584,8858,5369,1277,328,14584,8858,5369,1277,328,9915,12251,7233,926,91,30416,30416,5.27682798527091,3.343634928984745,77.07127827459233,72.87611783271963,30416,62.09,0.13,23.95,12.8,1.04
